transaction_id,merchant_id,transaction_timestamp,transaction_amount,merchant_avg_amount,merchant_std_amount,hour_of_day,is_weekend,time_since_last_tx_sec,merchant_age_days,is_early_lifecycle_tx,payment_method,merchant_failure_rate_7d
t_00001b16eb62,m_dda63e3c5d,2024-02-29 00:00:00.0000000,68732.00,38607.095652,22064.4941732719,0,0,0,24,0,ussd,0.000000000000
t_0000aff7aaac,m_afc8dce618,2024-04-08 00:00:00.0000000,18209.00,43478.000000,22450.0519534875,0,0,345600,41,0,card,0.000000000000
t_0001d898ac43,m_65c3e0b150,2024-10-19 00:00:00.0000000,60334.00,39853.985294,22977.8345882286,0,1,0,246,0,ussd,0.000000000000
t_000493b58e0d,m_c57ae6c452,2024-03-05 00:00:00.0000000,23028.00,35973.222222,24121.6832832682,0,0,86400,16,0,card,0.000000000000
t_000547ebdcc0,m_7b4d7a2894,2024-05-26 00:00:00.0000000,67242.00,42859.812182,22761.5701632418,0,1,0,97,0,card,0.000000000000
t_0005a724daef,m_70285871e0,2024-02-28 00:00:00.0000000,3567.00,37127.470588,23234.1785499231,0,0,NULL,2,1,ussd,0.000000000000
t_00062fe08a38,m_e40d65ded4,2024-06-27 00:00:00.0000000,36600.00,40606.832861,23824.5639280384,0,0,86400,131,0,card,0.000000000000
t_0007fdc9e25f,m_990a8f98b1,2024-08-08 00:00:00.0000000,22300.00,35965.511363,22042.5924659637,0,0,172800,219,0,bank,0.000000000000
t_000b5030c223,m_661674c0c0,2024-04-25 00:00:00.0000000,48072.00,37696.086956,22196.0148623587,0,0,259200,90,0,ussd,0.000000000000
t_000b5147a279,m_3829da0d98,2024-05-12 00:00:00.0000000,32585.00,39373.539682,23600.2238964402,0,1,86400,121,0,bank,0.000000000000
t_001266c18181,m_9934f53be6,2024-03-16 00:00:00.0000000,21638.00,44262.259475,22762.8780152629,0,1,86400,50,0,bank,0.000000000000
t_0013ea448f86,m_65c3e0b150,2024-07-04 00:00:00.0000000,6329.00,39853.985294,22977.8345882286,0,0,0,139,0,card,0.000000000000
t_0014c9779084,m_f5bff98523,2024-05-22 00:00:00.0000000,66295.00,39295.837209,21580.3418469369,0,0,86400,97,0,bank,0.000000000000
t_001a7ab0601f,m_c629cab247,2024-08-29 00:00:00.0000000,7618.00,40352.262135,23938.9633659951,0,0,86400,187,0,bank,0.000000000000
t_001b684c461d,m_65c3e0b150,2024-06-02 00:00:00.0000000,66289.00,39853.985294,22977.8345882286,0,1,0,107,0,ussd,0.000000000000
t_001d86ef3f17,m_9112550cdc,2024-03-24 00:00:00.0000000,23863.00,43241.224000,21958.4282653587,0,1,86400,61,0,ussd,0.000000000000
t_001dcfa5622d,m_5817aa64f6,2024-05-27 00:00:00.0000000,43368.00,39653.935483,23519.1385585518,0,0,0,109,0,card,0.000000000000
t_002348e8a6c7,m_d7206fb2c2,2024-07-11 00:00:00.0000000,70870.00,42145.469565,21837.6743573801,0,0,259200,162,0,bank,0.000000000000
t_0025d88f62ed,m_43e41877e5,2024-01-16 00:00:00.0000000,33346.00,37452.388888,21166.4746865706,0,0,NULL,7,1,bank,0.000000000000
t_002753655298,m_2988f6eef7,2024-03-03 00:00:00.0000000,76078.00,47453.758620,26605.6057877379,0,1,86400,3,1,bank,0.000000000000
t_002978a56237,m_9fd2c103fb,2024-03-17 00:00:00.0000000,68162.00,46642.260869,23002.3534452404,0,1,86400,66,0,bank,0.000000000000
t_0029eb9946c4,m_29ca273889,2024-09-05 00:00:00.0000000,77328.00,41348.680952,21345.124884328,0,0,86400,220,0,ussd,0.000000000000
t_002d21849ccb,m_5e7799257d,2024-03-20 00:00:00.0000000,15300.00,37199.616161,23875.5740718276,0,0,86400,52,0,ussd,0.000000000000
t_002f06316cda,m_9dafa16a2f,2024-04-18 00:00:00.0000000,59265.00,40804.456521,21076.4840634259,0,0,86400,84,0,bank,0.000000000000
t_003090debc04,m_cfaad15ce5,2024-04-14 00:00:00.0000000,19645.00,43576.425287,22342.1760347638,0,1,86400,99,0,ussd,0.000000000000
t_0039e4e40b6c,m_66d24572cc,2024-04-13 00:00:00.0000000,61717.00,41352.662116,23324.7117931033,0,1,0,90,0,card,0.000000000000
t_003dfcbce0ad,m_edfe8aac84,2024-04-08 00:00:00.0000000,22498.00,41038.465447,24053.4250526313,0,0,0,85,0,ussd,0.000000000000
t_00423d22ea43,m_edfe8aac84,2024-08-01 00:00:00.0000000,60248.00,41038.465447,24053.4250526313,0,0,0,200,0,ussd,0.000000000000
t_0042a559bb0c,m_17043e6f5b,2024-03-26 00:00:00.0000000,64559.00,36119.925531,22510.6917742589,0,0,86400,34,0,card,0.000000000000
t_004460182c4e,m_e40d65ded4,2024-04-18 00:00:00.0000000,59632.00,40606.832861,23824.5639280384,0,0,86400,61,0,card,0.000000000000
