merchant_id,total_transaction_volume,avg_transaction_size,transaction_frequency,avg_monthly_transactions,payment_method_diversity,success_rate,merchant_age_days
m_000f075d63,494575.00,49457.500000,10,5,3,1.000000000000,675
m_01b846e000,656846.00,43789.733333,15,7.5,3,1.000000000000,697
m_01e9a0b208,1093271.00,37699.000000,29,9.66666666666667,3,1.000000000000,725
m_02f4599a40,19764768.00,40254.109979,491,49.1,3,0.997963340122,728
m_03a6e19aa3,342019.00,48859.857142,7,3.5,3,1.000000000000,691
m_0428750f7d,167924.00,41981.000000,4,1.33333333333333,3,1.000000000000,729
m_045d08bf26,9400435.00,38369.122448,245,40.8333333333333,3,1.000000000000,696
m_067751ce34,124925.00,20820.833333,6,2,3,1.000000000000,724
m_06e4d0ee44,10210394.00,43448.485106,235,39.1666666666667,3,1.000000000000,721
m_075e13f3a4,816710.00,40835.500000,20,6.66666666666667,3,1.000000000000,681
m_07ebc45136,883499.00,46499.947368,19,9.5,3,1.000000000000,703
m_0819a74639,1780755.00,45660.384615,39,9.75,3,0.974358974358,707
m_0a33294aa4,7177582.00,35012.595121,205,41,3,1.000000000000,694
m_0b19e4df03,3034645.00,40461.933333,75,25,3,1.000000000000,689
m_0b63edeb9f,734283.00,48952.200000,15,7.5,3,1.000000000000,708
m_0c814b691f,538581.00,44881.750000,12,4,3,1.000000000000,717
m_0cd0a5139b,568497.00,40606.928571,14,4.66666666666667,3,1.000000000000,722
m_0cd31d704f,4239407.00,40763.528846,104,14.8571428571429,3,1.000000000000,699
m_0e6fe2fdca,46956.00,46956.000000,1,NULL,1,1.000000000000,697
m_0f9baa1676,7913834.00,42319.967914,187,37.4,3,1.000000000000,707
m_1169f936bb,3380566.00,42257.075000,80,26.6666666666667,3,1.000000000000,680
m_11c30dc2e9,1653463.00,44688.189189,37,9.25,3,1.000000000000,700
m_12872df906,936317.00,39013.208333,24,6,3,1.000000000000,720
m_1382df1f71,1352621.00,45087.366666,30,10,3,0.966666666666,697
m_14591d2f1b,986845.00,39473.800000,25,8.33333333333333,3,1.000000000000,708
m_1521b5045d,2342377.00,34446.720588,68,11.3333333333333,3,1.000000000000,729
m_16589a1b00,2998900.00,42841.428571,70,11.6666666666667,3,1.000000000000,677
m_16e1660a09,4495992.00,44959.920000,100,12.5,3,1.000000000000,686
m_17043e6f5b,3395273.00,36119.925531,94,31.3333333333333,3,1.000000000000,681
m_17210dcac4,6046347.00,39008.690322,155,38.75,3,1.000000000000,678
m_181b8476e0,157310.00,39327.500000,4,2,2,1.000000000000,701
m_184699b8c1,7633855.00,41042.231182,186,46.5,3,1.000000000000,700
m_1a2b51f33c,10677944.00,41227.583011,259,37,3,1.000000000000,717
m_1a68c4cbb4,508852.00,39142.461538,13,6.5,3,1.000000000000,686
m_1ac3590983,821725.00,51357.812500,16,8,3,1.000000000000,694
m_1bf89bce1c,146549.00,29309.800000,5,2.5,2,1.000000000000,697
m_1c18ca4f64,210913.00,42182.600000,5,NULL,2,1.000000000000,680
m_1c52d68aa6,4522205.00,41872.268518,108,36,3,1.000000000000,675
m_1ceb4d525d,704236.00,39124.222222,18,9,3,1.000000000000,702
m_1fa3a2c0aa,38963.00,38963.000000,1,NULL,1,1.000000000000,730
m_1fd1bf0a2b,61538.00,20512.666666,3,1.5,3,1.000000000000,711
m_2051e1ad5b,170002.00,42500.500000,4,2,2,1.000000000000,700
m_22833a3a43,536825.00,53682.500000,10,5,3,1.000000000000,689
m_22b9004798,851919.00,44837.842105,19,6.33333333333333,3,0.947368421052,682
m_23584e377a,947531.00,41197.000000,23,7.66666666666667,3,1.000000000000,684
m_237772a721,718247.00,29926.958333,24,8,3,1.000000000000,718
m_23c3c28070,7051447.00,40759.809248,173,43.25,3,1.000000000000,692
m_2414ba1714,2062606.00,36832.250000,56,11.2,3,1.000000000000,721
m_2472aa89db,317200.00,35244.444444,9,4.5,3,1.000000000000,676
m_24c4fe5068,1528434.00,40221.947368,38,9.5,3,1.000000000000,678
m_250c027d7e,277157.00,34644.625000,8,NULL,3,1.000000000000,682
m_250c87aa54,788786.00,46399.176470,17,5.66666666666667,3,1.000000000000,687
m_26247f35f0,65528.00,65528.000000,1,NULL,1,1.000000000000,732
m_282750b3a4,3408725.00,37458.516483,91,22.75,3,1.000000000000,717
m_28a4e23781,2267907.00,40498.339285,56,9.33333333333333,3,1.000000000000,712
m_292333b8ef,865030.00,41191.904761,21,10.5,3,1.000000000000,674
m_2988f6eef7,1376159.00,47453.758620,29,14.5,3,1.000000000000,673
m_29ca273889,17366446.00,41348.680952,420,46.6666666666667,3,1.000000000000,704
m_29df738521,6327365.00,39794.748427,159,39.75,3,1.000000000000,706
m_29fa4af120,544960.00,30275.555555,18,6,3,1.000000000000,714
m_2b65e6087c,1400374.00,45173.354838,31,10.3333333333333,3,0.967741935483,695
m_2b87c6392f,557199.00,30955.500000,18,9,3,1.000000000000,693
m_2c89fbd79c,312747.00,28431.545454,11,5.5,3,1.000000000000,675
m_2d480b2df9,1866920.00,40585.217391,46,11.5,3,1.000000000000,675
m_2e0c794d1b,2414009.00,42351.035087,57,11.4,3,1.000000000000,675
m_2fc28d4a6b,2640429.00,37720.414285,70,23.3333333333333,3,1.000000000000,704
m_2ff40be70a,521903.00,37278.785714,14,4.66666666666667,3,1.000000000000,719
m_30315e8abb,48300.00,48300.000000,1,NULL,1,1.000000000000,696
m_3095be967f,1631768.00,40794.200000,40,20,3,1.000000000000,698
m_3098bbde3c,1636726.00,38969.666666,42,21,3,1.000000000000,678
m_309a636592,3529693.00,39659.471910,89,29.6666666666667,3,1.000000000000,682
m_31822b607b,372347.00,37234.700000,10,3.33333333333333,3,0.900000000000,731
m_321414b094,2296215.00,34271.865671,67,33.5,3,1.000000000000,711
m_3343cdeae1,680560.00,56713.333333,12,6,3,1.000000000000,688
m_3372dbb15a,2472975.00,44160.267857,56,11.2,3,1.000000000000,679
m_35c27054bf,910140.00,39571.304347,23,11.5,3,1.000000000000,684
m_366f98eda7,1352424.00,45080.800000,30,10,3,1.000000000000,707
m_36ab1e818f,1521593.00,37112.024390,41,10.25,3,1.000000000000,709
m_372504a9f0,576676.00,36042.250000,16,8,3,1.000000000000,705
m_3829da0d98,2480533.00,39373.539682,63,9,3,1.000000000000,721
m_3a0b2655c2,659486.00,34709.789473,19,9.5,3,1.000000000000,691
m_3a67f3c3c3,1729068.00,42172.390243,41,8.2,3,1.000000000000,692
m_3a9024559f,289526.00,28952.600000,10,3.33333333333333,3,1.000000000000,725
m_3add94cc04,823124.00,39196.380952,21,10.5,3,1.000000000000,680
m_3b6f5e7ab7,137977.00,34494.250000,4,2,2,1.000000000000,715
m_3b987f526e,979689.00,33782.379310,29,14.5,3,1.000000000000,706
m_3ba995f686,904128.00,45206.400000,20,5,3,1.000000000000,720
m_3bbc480854,124475.00,20745.833333,6,2,3,1.000000000000,724
m_3bc40babf3,742686.00,37134.300000,20,6.66666666666667,3,1.000000000000,710
m_3dce738f35,58986.00,58986.000000,1,NULL,1,1.000000000000,728
m_3ef8f43c97,34927.00,17463.500000,2,1,1,1.000000000000,673
m_3ff0ec631c,117260.00,58630.000000,2,NULL,2,1.000000000000,693
m_4053ee70a0,4757831.00,40320.601694,118,39.3333333333333,3,1.000000000000,691
m_40f0ac96eb,3611986.00,43517.903614,83,27.6666666666667,3,1.000000000000,710
m_437cf27b48,1455882.00,37330.307692,39,19.5,3,1.000000000000,693
m_43e41877e5,2022429.00,37452.388888,54,9,3,1.000000000000,724
m_476fd597f6,785545.00,37406.904761,21,5.25,3,1.000000000000,726
m_478d1c7b15,177567.00,29594.500000,6,3,3,1.000000000000,710
m_49ca3ee0b3,1780962.00,42403.857142,42,21,3,1.000000000000,696
m_4a698d8b4c,5256002.00,41062.515625,128,32,3,1.000000000000,727
m_4bc66994d6,2003382.00,41737.125000,48,12,3,1.000000000000,682
m_4bda98f51d,1583658.00,40606.615384,39,19.5,3,1.000000000000,690
m_4cb0ef01fc,2208855.00,42477.980769,52,26,3,1.000000000000,707
m_4d1676ece9,1688739.00,40208.071428,42,21,3,0.976190476190,680
m_4dba1746af,228295.00,38049.166666,6,2,3,1.000000000000,718
m_50ba87a2ef,633260.00,45232.857142,14,NULL,3,1.000000000000,674
m_50be243ae4,305818.00,50969.666666,6,3,2,1.000000000000,699
m_510e9da692,1515984.00,40972.540540,37,9.25,3,1.000000000000,697
m_51f5e8dc90,713790.00,33990.000000,21,10.5,3,0.952380952380,705
m_5256ceaa87,810662.00,42666.421052,19,9.5,3,1.000000000000,693
m_53e1cf17dd,3512595.00,41324.647058,85,14.1666666666667,3,1.000000000000,681
m_54d77390be,695967.00,49711.928571,14,7,3,1.000000000000,686
m_550aee8a05,535287.00,38234.785714,14,7,3,1.000000000000,701
m_563d65aed0,1024402.00,40976.080000,25,6.25,3,1.000000000000,719
m_56a80ef3a4,166590.00,55530.000000,3,1.5,2,1.000000000000,696
m_570ff787b5,2172894.00,40998.000000,53,10.6,3,1.000000000000,714
m_5817aa64f6,7375632.00,39653.935483,186,46.5,3,1.000000000000,694
m_58e43f9326,211497.00,30213.857142,7,3.5,3,1.000000000000,705
m_59078bef32,1015983.00,46181.045454,22,5.5,3,1.000000000000,721
m_59792d7346,1948773.00,39770.877551,49,8.16666666666667,3,1.000000000000,730
m_5af252200c,3299098.00,38812.917647,85,14.1666666666667,3,1.000000000000,685
m_5cb0b41ff0,255732.00,36533.142857,7,3.5,2,0.857142857142,689
m_5d2e70eb02,437806.00,36483.833333,12,6,3,1.000000000000,711
m_5e7799257d,3682762.00,37199.616161,99,33,3,1.000000000000,705
m_5eff2e78b7,116728.00,58364.000000,2,1,2,1.000000000000,673
m_614788b43e,3404744.00,41021.012048,83,27.6666666666667,3,1.000000000000,702
m_63f3a7cfaa,8172939.00,41912.507692,195,32.5,3,1.000000000000,732
m_640753638b,1087480.00,45311.666666,24,8,3,1.000000000000,698
m_6410c62ac0,1660364.00,43693.789473,38,7.6,3,1.000000000000,715
m_64355aa980,566411.00,37760.733333,15,7.5,3,1.000000000000,673
m_6485f0d614,122877.00,40959.000000,3,1.5,2,1.000000000000,686
m_653a1a8a3d,1516441.00,44601.205882,34,8.5,3,0.970588235294,712
m_65c3e0b150,18970497.00,39853.985294,476,52.8888888888889,3,1.000000000000,686
m_661674c0c0,1734020.00,37696.086956,46,11.5,3,1.000000000000,707
m_661ab8544c,204743.00,40948.600000,5,2.5,1,1.000000000000,731
m_66d24572cc,12116330.00,41352.662116,293,41.8571428571429,3,1.000000000000,719
m_66e80bba52,10428758.00,39653.072243,263,37.5714285714286,3,1.000000000000,720
m_674316adbd,664537.00,33226.850000,20,6.66666666666667,3,1.000000000000,728
m_67607d7b67,63609.00,63609.000000,1,NULL,1,1.000000000000,703
m_677a0b5879,2965490.00,37068.625000,80,26.6666666666667,3,1.000000000000,706
m_6a985a222c,136141.00,27228.200000,5,2.5,2,1.000000000000,709
m_6aed2f1bc2,3279250.00,43723.333333,75,25,3,1.000000000000,715
m_6c8da33c57,1114556.00,44582.240000,25,8.33333333333333,3,1.000000000000,711
m_70285871e0,631167.00,37127.470588,17,8.5,3,1.000000000000,676
m_7053f46f2e,1502468.00,41735.222222,36,7.2,3,0.972222222222,727
m_70863806eb,121500.00,40500.000000,3,1,3,1.000000000000,710
m_70b2998001,525150.00,37510.714285,14,7,3,1.000000000000,692
m_70b56d545d,454127.00,50458.555555,9,4.5,3,1.000000000000,688
m_70ef414429,1893902.00,46192.731707,41,10.25,3,1.000000000000,714
m_7243af85da,1064706.00,46291.565217,23,7.66666666666667,3,1.000000000000,711
m_72932eece9,2166778.00,38692.464285,56,11.2,3,1.000000000000,730
m_729489e917,1926881.00,41888.717391,46,11.5,3,1.000000000000,705
m_72de4cd20d,233283.00,46656.600000,5,2.5,3,1.000000000000,689
m_73062da649,792565.00,37741.190476,21,5.25,3,1.000000000000,723
m_73d8b36703,3718941.00,40423.271739,92,10.2222222222222,3,1.000000000000,724
m_7477acaa3d,1131842.00,47160.083333,24,8,3,1.000000000000,693
m_757792376b,802031.00,42212.157894,19,9.5,3,1.000000000000,674
