api_key_id,merchant_id,created_timestamp,environment,key_type
k_006287af70,m_16589a1b00,2024-02-26 00:00:00.0000000,TEST,secret
k_0073dc61d1,m_3b987f526e,2024-01-28 00:00:00.0000000,TEST,secret
k_00b9808aec,m_2b87c6392f,2024-02-10 00:00:00.0000000,TEST,secret
k_00cc13ff04,m_3bc40babf3,2024-01-24 00:00:00.0000000,TEST,secret
k_0153af8450,m_29b897d103,2024-01-17 00:00:00.0000000,TEST,secret
k_01c249baec,m_6205fdb61b,2024-02-26 00:00:00.0000000,LIVE,secret
k_01cc9db177,m_771d35c6c7,2024-02-04 00:00:00.0000000,TEST,secret
k_01e4d42df7,m_fdbae50859,2024-02-25 00:00:00.0000000,TEST,secret
k_01ebe8101a,m_dd2719a247,2024-01-13 00:00:00.0000000,TEST,secret
k_021850dec0,m_11eedabd9a,2024-01-30 00:00:00.0000000,TEST,secret
k_02767e1eae,m_aaefedc9e5,2024-01-22 00:00:00.0000000,LIVE,secret
k_028dd24431,m_4b2d64b5b4,2024-01-09 00:00:00.0000000,TEST,secret
k_02e2e55f98,m_774f91aef3,2024-02-03 00:00:00.0000000,TEST,secret
k_02e6584174,m_570ff787b5,2024-01-24 00:00:00.0000000,LIVE,secret
k_0328e8b67b,m_3f59691769,2024-01-29 00:00:00.0000000,TEST,secret
k_0350131786,m_5e7799257d,2024-01-29 00:00:00.0000000,TEST,secret
k_035bcb055f,m_3a67f3c3c3,2024-02-11 00:00:00.0000000,TEST,secret
k_037c3513b6,m_f5bff98523,2024-02-16 00:00:00.0000000,TEST,secret
k_03a7ffbde1,m_5d2e70eb02,2024-01-23 00:00:00.0000000,TEST,secret
k_03aa1df76c,m_8450ac37b4,2024-02-28 00:00:00.0000000,TEST,secret
k_03da7a2352,m_7619409c0c,2024-02-03 00:00:00.0000000,LIVE,secret
k_041af96a29,m_b661bb9370,2024-02-17 00:00:00.0000000,LIVE,secret
k_0477e872a9,m_28d3955fa3,2024-02-03 00:00:00.0000000,TEST,secret
k_0532ef8bf3,m_86b6fa20d7,2024-02-02 00:00:00.0000000,TEST,secret
k_053a637bad,m_6d70e227e6,2024-02-18 00:00:00.0000000,TEST,secret
k_054e92e32a,m_c9896b9dda,2024-02-26 00:00:00.0000000,LIVE,secret
k_05ded68fdf,m_9fe1a0e869,2024-02-18 00:00:00.0000000,TEST,secret
