merchant_id,signup_timestamp,first_test_txn_timestamp,first_live_txn_timestamp,is_activated,days_signup_to_test,days_signup_to_live,days_test_to_live
m_000f075d63,2024-02-27 00:00:00.0000000,2024-02-29 00:00:00.0000000,2024-02-29 00:00:00.0000000,1,2,2,0
m_0085e707d2,2024-01-21 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_015713372e,2024-01-22 00:00:00.0000000,2024-01-24 00:00:00.0000000,NULL,0,2,NULL,NULL
m_01b846e000,2024-02-05 00:00:00.0000000,2024-02-07 00:00:00.0000000,2024-02-12 00:00:00.0000000,1,2,7,5
m_01e9a0b208,2024-01-08 00:00:00.0000000,2024-01-10 00:00:00.0000000,2024-01-24 00:00:00.0000000,1,2,16,14
m_023c9f13cc,2024-01-14 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_02f4599a40,2024-01-05 00:00:00.0000000,2024-01-07 00:00:00.0000000,2024-02-28 00:00:00.0000000,1,2,54,52
m_02f736b6c7,2024-02-27 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_03a6e19aa3,2024-02-11 00:00:00.0000000,2024-02-13 00:00:00.0000000,2024-02-21 00:00:00.0000000,1,2,10,8
m_03cf231ea8,2024-02-11 00:00:00.0000000,2024-02-13 00:00:00.0000000,NULL,0,2,NULL,NULL
m_0428750f7d,2024-01-04 00:00:00.0000000,2024-01-06 00:00:00.0000000,2024-01-21 00:00:00.0000000,1,2,17,15
m_044ef9cb06,2024-02-29 00:00:00.0000000,2024-03-02 00:00:00.0000000,NULL,0,2,NULL,NULL
m_0455c1f540,2024-01-29 00:00:00.0000000,2024-01-31 00:00:00.0000000,NULL,0,2,NULL,NULL
m_045d08bf26,2024-02-06 00:00:00.0000000,2024-02-08 00:00:00.0000000,2024-02-18 00:00:00.0000000,1,2,12,10
m_04a70a2b7b,2024-02-14 00:00:00.0000000,2024-02-16 00:00:00.0000000,NULL,0,2,NULL,NULL
m_05057afafc,2024-02-22 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_0535155beb,2024-01-06 00:00:00.0000000,2024-01-08 00:00:00.0000000,NULL,0,2,NULL,NULL
m_05f04b1b09,2024-02-01 00:00:00.0000000,2024-02-03 00:00:00.0000000,NULL,0,2,NULL,NULL
m_0612c5b2ba,2024-02-27 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_06150197f9,2024-02-15 00:00:00.0000000,2024-02-17 00:00:00.0000000,NULL,0,2,NULL,NULL
m_067751ce34,2024-01-09 00:00:00.0000000,2024-01-11 00:00:00.0000000,2024-01-27 00:00:00.0000000,1,2,18,16
m_06ae3eee96,2024-02-29 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_06ccb6373b,2024-01-04 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_06e4d0ee44,2024-01-12 00:00:00.0000000,2024-01-14 00:00:00.0000000,2024-01-25 00:00:00.0000000,1,2,13,11
m_075e13f3a4,2024-02-21 00:00:00.0000000,2024-02-23 00:00:00.0000000,2024-02-28 00:00:00.0000000,1,2,7,5
m_07ebc45136,2024-01-30 00:00:00.0000000,2024-02-01 00:00:00.0000000,2024-02-17 00:00:00.0000000,1,2,18,16
m_0819a74639,2024-01-26 00:00:00.0000000,2024-01-28 00:00:00.0000000,2024-03-01 00:00:00.0000000,1,2,35,33
m_0880f17b89,2024-01-23 00:00:00.0000000,2024-01-25 00:00:00.0000000,NULL,0,2,NULL,NULL
m_08a7dc622f,2024-02-17 00:00:00.0000000,2024-02-19 00:00:00.0000000,NULL,0,2,NULL,NULL
m_08e6cc639a,2024-01-02 00:00:00.0000000,2024-01-04 00:00:00.0000000,NULL,0,2,NULL,NULL
m_0963313c5e,2024-02-21 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_0a0817ce3a,2024-02-28 00:00:00.0000000,2024-03-01 00:00:00.0000000,NULL,0,2,NULL,NULL
m_0a33294aa4,2024-02-08 00:00:00.0000000,2024-02-10 00:00:00.0000000,2024-02-15 00:00:00.0000000,1,2,7,5
m_0a85de429c,2024-01-23 00:00:00.0000000,2024-01-25 00:00:00.0000000,NULL,0,2,NULL,NULL
m_0b19e4df03,2024-02-13 00:00:00.0000000,2024-02-15 00:00:00.0000000,2024-02-21 00:00:00.0000000,1,2,8,6
m_0b63edeb9f,2024-01-25 00:00:00.0000000,2024-01-27 00:00:00.0000000,2024-02-13 00:00:00.0000000,1,2,19,17
m_0bad2d7816,2024-02-02 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_0c814b691f,2024-01-16 00:00:00.0000000,2024-01-18 00:00:00.0000000,2024-01-27 00:00:00.0000000,1,2,11,9
m_0cbc002065,2024-01-04 00:00:00.0000000,2024-01-06 00:00:00.0000000,NULL,0,2,NULL,NULL
m_0cccd0e0ed,2024-02-02 00:00:00.0000000,2024-02-04 00:00:00.0000000,NULL,0,2,NULL,NULL
m_0cd0a5139b,2024-01-11 00:00:00.0000000,2024-01-13 00:00:00.0000000,2024-01-22 00:00:00.0000000,1,2,11,9
m_0cd31d704f,2024-02-03 00:00:00.0000000,2024-02-05 00:00:00.0000000,2024-02-18 00:00:00.0000000,1,2,15,13
m_0cd386f249,2024-01-01 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_0d6d795470,2024-02-22 00:00:00.0000000,2024-02-24 00:00:00.0000000,NULL,0,2,NULL,NULL
m_0da104f5ea,2024-02-29 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_0dcf3fab6e,2024-02-11 00:00:00.0000000,2024-02-13 00:00:00.0000000,NULL,0,2,NULL,NULL
m_0df8fd450d,2024-01-19 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_0e46ae487c,2024-02-01 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_0e6fe2fdca,2024-02-05 00:00:00.0000000,2024-02-07 00:00:00.0000000,2024-02-13 00:00:00.0000000,1,2,8,6
m_0f67471f44,2024-01-26 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_0f9baa1676,2024-01-26 00:00:00.0000000,2024-01-28 00:00:00.0000000,2024-02-03 00:00:00.0000000,1,2,8,6
m_10b86f9475,2024-01-08 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
