transaction_id,merchant_id,transaction_timestamp,environment,status,amount,currency,payment_method,failure_reason
t_00001b16eb62,m_dda63e3c5d,2024-02-29 00:00:00.0000000,LIVE,SUCCESS,68732.00,NGN,ussd,NULL
t_0000aff7aaac,m_afc8dce618,2024-04-08 00:00:00.0000000,LIVE,SUCCESS,18209.00,NGN,card,NULL
t_0001d898ac43,m_65c3e0b150,2024-10-19 00:00:00.0000000,LIVE,SUCCESS,60334.00,NGN,ussd,NULL
t_000493b58e0d,m_c57ae6c452,2024-03-05 00:00:00.0000000,LIVE,SUCCESS,23028.00,NGN,card,NULL
t_000547ebdcc0,m_7b4d7a2894,2024-05-26 00:00:00.0000000,LIVE,SUCCESS,67242.00,NGN,card,NULL
t_0005a724daef,m_70285871e0,2024-02-28 00:00:00.0000000,LIVE,SUCCESS,3567.00,NGN,ussd,NULL
t_00062a9bd219,m_b48c38c55d,2024-01-10 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_00062fe08a38,m_e40d65ded4,2024-06-27 00:00:00.0000000,LIVE,SUCCESS,36600.00,NGN,card,NULL
t_0007fdc9e25f,m_990a8f98b1,2024-08-08 00:00:00.0000000,LIVE,SUCCESS,22300.00,NGN,bank,NULL
t_000aa17ed9e2,m_97c26bb570,2024-01-31 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_000b5030c223,m_661674c0c0,2024-04-25 00:00:00.0000000,LIVE,SUCCESS,48072.00,NGN,ussd,NULL
t_000b5147a279,m_3829da0d98,2024-05-12 00:00:00.0000000,LIVE,SUCCESS,32585.00,NGN,bank,NULL
t_000ee9253d22,m_0880f17b89,2024-02-04 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_001266c18181,m_9934f53be6,2024-03-16 00:00:00.0000000,LIVE,SUCCESS,21638.00,NGN,bank,NULL
t_0013ea448f86,m_65c3e0b150,2024-07-04 00:00:00.0000000,LIVE,SUCCESS,6329.00,NGN,card,NULL
t_0014c9779084,m_f5bff98523,2024-05-22 00:00:00.0000000,LIVE,SUCCESS,66295.00,NGN,bank,NULL
t_001a7ab0601f,m_c629cab247,2024-08-29 00:00:00.0000000,LIVE,SUCCESS,7618.00,NGN,bank,NULL
t_001b684c461d,m_65c3e0b150,2024-06-02 00:00:00.0000000,LIVE,SUCCESS,66289.00,NGN,ussd,NULL
t_001c207eb9e1,m_7f0123dd7d,2024-01-05 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_001d86ef3f17,m_9112550cdc,2024-03-24 00:00:00.0000000,LIVE,SUCCESS,23863.00,NGN,ussd,NULL
t_001dcfa5622d,m_5817aa64f6,2024-05-27 00:00:00.0000000,LIVE,SUCCESS,43368.00,NGN,card,NULL
t_002348e8a6c7,m_d7206fb2c2,2024-07-11 00:00:00.0000000,LIVE,SUCCESS,70870.00,NGN,bank,NULL
