transaction_id,merchant_id,transaction_timestamp,transaction_amount,merchant_avg_amount,merchant_std_amount,hour_of_day,is_weekend,time_since_last_tx_sec,merchant_age_days,is_early_lifecycle_tx,merchant_failure_rate_7d,hour,day_of_week,amount_vs_avg,amount_to_avg_ratio,z_score_amount,rapid_repeat_tx,burst_tx,method_bank,method_card,method_ussd,anomaly_score,is_fraud,is_night,rapid_succession,is_first_purchase,fraud_risk_score,fraud_action,fraud_flag,merchant_fraud_flag
t_00001b16eb62,m_dda63e3c5d,2024-02-29,68732.0,38607.09565217391,22064.4941732719,0,0,0.0,24,0,0.0,0,3,1.7802944986909368,1.7802944986909368,1.3653113509539803,1,1,False,False,True,0.07569280023320057,0,1,1,0,0,APPROVE,0,0
t_0000aff7aaac,m_afc8dce618,2024-04-08,18209.0,43478.0,22450.0519534875,0,0,345600.0,41,0,0.0,0,0,0.4188095128570771,0.4188095128570771,-1.125565323962406,0,0,False,True,False,0.14206248296968788,0,1,0,0,0,APPROVE,0,0
t_0001d898ac43,m_65c3e0b150,2024-10-19,60334.0,39853.98529411765,22977.8345882286,0,1,0.0,246,0,0.0,0,5,1.5138762047193597,1.5138762047193597,0.8912943744653001,1,1,False,False,True,0.019962891147225825,0,1,1,0,0,APPROVE,0,1
t_000493b58e0d,m_c57ae6c452,2024-03-05,23028.0,35973.22222222222,24121.6832832682,0,0,86400.0,16,0,0.0,0,1,0.640142822284477,0.640142822284477,-0.536663302896509,0,0,False,True,False,0.13440639246279318,0,1,0,0,0,APPROVE,0,1
t_000547ebdcc0,m_7b4d7a2894,2024-05-26,67242.0,42859.812182741116,22761.5701632418,0,1,0.0,97,0,0.0,0,6,1.5688822833217444,1.5688822833217444,1.071199730176535,1,1,False,True,False,0.0651856584519005,0,1,1,0,0,APPROVE,0,1
t_0005a724daef,m_70285871e0,2024-02-28,3567.0,37127.470588235294,23234.1785499231,0,0,86400.0,2,1,0.0,0,2,0.09607441453688169,0.09607441453688169,-1.4444440338669244,0,0,False,False,True,0.026304484195780353,0,1,0,0,0,APPROVE,0,1
t_00062fe08a38,m_e40d65ded4,2024-06-27,36600.0,40606.8328611898,23824.5639280384,0,0,86400.0,131,0,0.0,0,3,0.9013261419602278,0.9013261419602278,-0.1681807429211447,0,0,False,True,False,0.14665193995260228,0,1,0,0,0,APPROVE,0,1
t_0007fdc9e25f,m_990a8f98b1,2024-08-08,22300.0,35965.51136363636,22042.5924659637,0,0,172800.0,219,0,0.0,0,3,0.620038452241968,0.620038452241968,-0.6199593529997656,0,0,True,False,False,0.10457180532563282,0,1,0,0,0,APPROVE,0,0
t_000b5030c223,m_661674c0c0,2024-04-25,48072.0,37696.086956521736,22196.0148623587,0,0,259200.0,90,0,0.0,0,3,1.2752517272003785,1.2752517272003785,0.4674673858267388,0,0,False,False,True,0.13937263441649883,0,1,0,0,0,APPROVE,0,0
t_000b5147a279,m_3829da0d98,2024-05-12,32585.0,39373.53968253968,23600.2238964402,0,1,86400.0,121,0,0.0,0,6,0.8275862486006031,0.8275862486006031,-0.2876472575992658,0,0,True,False,False,0.11843628185116867,0,1,0,0,0,APPROVE,0,0
t_001266c18181,m_9934f53be6,2024-03-16,21638.0,44262.259475218656,22762.8780152629,0,1,86400.0,50,0,0.0,0,5,0.4888589117804657,0.4888589117804657,-0.9939103245226154,0,0,True,False,False,0.11442098389467864,0,1,0,0,0,APPROVE,0,1
t_0013ea448f86,m_65c3e0b150,2024-07-04,6329.0,39853.98529411765,22977.8345882286,0,0,0.0,139,0,0.0,0,3,0.1588046955227372,0.1588046955227372,-1.4590141279584408,1,1,False,True,False,0.06893796107580463,0,1,1,0,0,APPROVE,0,1
t_0014c9779084,m_f5bff98523,2024-05-22,66295.0,39295.83720930233,21580.3418469369,0,0,86400.0,97,0,0.0,0,2,1.6870743750003698,1.6870743750003698,1.2510998658962353,0,0,True,False,False,0.13962124017902622,0,1,0,0,0,APPROVE,0,0
t_001a7ab0601f,m_c629cab247,2024-08-29,7618.0,40352.26213592233,23938.9633659951,0,0,86400.0,187,0,0.0,0,3,0.18878743338699508,0.18878743338699508,-1.36740516435314,0,0,True,False,False,0.09039355094590928,0,1,0,0,0,APPROVE,0,0
t_001b684c461d,m_65c3e0b150,2024-06-02,66289.0,39853.98529411765,22977.8345882286,0,1,0.0,107,0,0.0,0,6,1.6632966442576596,1.6632966442576596,1.1504571766490495,1,1,False,False,True,0.04210492119976128,0,1,1,0,0,APPROVE,0,1
